title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,Alabama,AL,,,legal_name,last_name,first_name,tags,flip_background,flop_background
Rep,Mike,,Coffman,,,R,CO,6,1,M,1535,H8CO06138,412271,N00024753,RepMikeCoffman,http://www.opencongress.org/wiki/Mike_Coffman,http://youtube.com/CongressmanCoffman,3.66142E+11,,,3/19/1955,Rep.Coffman@opencongress.org,,,,,Mike  Coffman,Coffman,Mike ,"Republican Party, Colorado, US Representative",mike _coffman_red.png,mike _coffman_blue.png
Rep,Gerald,E.,Connolly,,,D,VA,11,1,M,95078,H8VA11062,412272,N00029891,GerryConnolly,http://www.opencongress.org/wiki/Gerald_Connolly,http://youtube.com/repconnolly,1.77164E+11,,,3/30/1950,Rep.Connolly@opencongress.org,,,,,Gerald E. Connolly,Connolly,Gerald E.,"Democratic Party, Virginia, US Representative",gerald e._connolly_red.png,gerald e._connolly_blue.png
Rep,Anh,,Cao,,Joseph,R,LA,2,0,M,93967,H8LA02112,412268,N00030339,AnhJosephCao,http://www.opencongress.org/wiki/Anh_Cao,http://youtube.com/AnhJosephCao,,,,3/13/1967,,,,,,Anh  Cao,Cao,Anh ,"Republican Party, Louisiana, US Representative",anh _cao_red.png,anh _cao_blue.png
Rep,Judy,M.,Chu,,,D,CA,27,1,F,16539,H0CA32101,412379,N00030600,RepJudyChu,http://www.opencongress.org/wiki/Judy_Chu,http://youtube.com/RepJudyChu,41228315130,,,7/7/1953,Rep.Chu@opencongress.org,,,,,Judy M. Chu,Chu,Judy M.,"Democratic Party, California, US Representative",judy m._chu_red.png,judy m._chu_blue.png
Rep,Mark,S.,Critz,,,D,PA,12,0,M,119481,H0PA12132,412386,N00032014,RepMarkCritz,http://www.opencongress.org/wiki/Mark_Critz,http://youtube.com/RepMarkCritz,1.24106E+14,,,1/5/1962,,,,,,Mark S. Critz,Critz,Mark S.,"Democratic Party, Pennsylvania, US Representative",mark s._critz_red.png,mark s._critz_blue.png
Rep,Francisco,,Canseco,,Quico,R,TX,23,0,M,50146,H4TX28046,412481,N00026722,RepCanseco,http://www.opencongress.org/wiki/Francisco_Canseco,http://youtube.com/CongressmanCanseco,RepCanseco,,,7/30/1949,,,,,,Francisco  Canseco,Canseco,Francisco ,"Republican Party, Texas, US Representative",francisco _canseco_red.png,francisco _canseco_blue.png
Rep,John,C.,Carney,,,D,DE,0,0,M,53658,H0DE01017,412407,N00030736,JohnCarneyde,http://www.opencongress.org/wiki/John_Carney,http://youtube.com/RepJohnCarney,1.56025E+14,,,5/20/1956,,,,,,John C. Carney,Carney,John C.,"Democratic Party, Delaware, US Representative",john c._carney_red.png,john c._carney_blue.png
Rep,David,N.,Cicilline,,,D,RI,1,1,M,7349,H0RI01073,412470,N00032019,RepCicilline,http://www.opencongress.org/wiki/David_Cicilline,http://youtube.com/RepDavidCicilline,1.86949E+14,,,7/15/1961,Rep.Cicilline@opencongress.org,,,,,David N. Cicilline,Cicilline,David N.,"Democratic Party, Rhode Island, US Representative",david n._cicilline_red.png,david n._cicilline_blue.png
Rep,Hansen,,Clarke,,,D,MI,13,0,M,19913,H0MI13398,412440,N00031945,RepHansenClarke,http://www.opencongress.org/wiki/Hansen_Clarke,http://youtube.com/rephansenclarke,1.84182E+14,,,3/2/1957,,,,,,Hansen  Clarke,Clarke,Hansen ,"Democratic Party, Michigan, US Representative",hansen _clarke_red.png,hansen _clarke_blue.png
Rep,Chip,,Cravaack,,,R,MN,8,0,M,122953,H0MN08115,412441,N00031623,RepChipCravaack,http://www.opencongress.org/wiki/Chip_Cravaack,http://youtube.com/RepChipCravaack,RepChipCravaack,,,12/29/1959,,,,,,Chip  Cravaack,Cravaack,Chip ,"Republican Party, Minnesota, US Representative",chip _cravaack_red.png,chip _cravaack_blue.png
Rep,Eric,A.,Crawford,,Rick,R,AR,1,1,M,119208,H0AR01083,412400,N00030770,RepRickCrawford,http://www.opencongress.org/wiki/Rick_Crawford,http://youtube.com/RepRickCrawford,1.43345E+14,,,1/22/1966,Rep.Crawford@opencongress.org,,,,,Eric A. Crawford,Crawford,Eric A.,"Republican Party, Arkansas, US Representative",eric a._crawford_red.png,eric a._crawford_blue.png
Sen,Chris,Andrew,Coons,,,D,DE,Junior Seat,1,M,122834,S0DE00092,412390,N00031820,SenCoonsOffice,http://www.opencongress.org/wiki/Chris_Coons,http://youtube.com/senatorchriscoons,2.54951E+14,,II,9/9/1963,Sen.Coons@opencongress.org,,,,,Chris Andrew Coons,Coons,Chris Andrew,"Democratic Party, Delaware, Senator",chris andrew_coons_red.png,chris andrew_coons_blue.png
Rep,Matthew,A.,Cartwright,,,D,PA,17,1,M,136236,H2PA17079,412571,N00034128,RepCartwright,,,2.48507E+14,,,5/1/1961,Rep.Cartwright@opencongress.org,,,,,Matthew A. Cartwright,Cartwright,Matthew A.,"Democratic Party, Pennsylvania, US Representative",matthew a._cartwright_red.png,matthew a._cartwright_blue.png
Rep,Joaquin,,Castro,,,D,TX,20,1,M,49227,H2TX35011,412576,N00033316,JoaquinCastrotx,,http://youtube.com/JoaquinCastroTX,3.26421E+14,,,9/16/1974,Rep.Castro@opencongress.org,,,,,Joaquin  Castro,Castro,Joaquin ,"Democratic Party, Texas, US Representative",joaquin _castro_red.png,joaquin _castro_blue.png
Rep,Chris,,Collins,,,R,NY,27,1,M,139770,H8NY29032,412563,N00001285,RepChrisCollins,,http://youtube.com/RepChrisCollins,4.67048E+14,,,5/20/1950,Rep.Chriscollins@opencongress.org,,,,,Chris  Collins,Collins,Chris ,"Republican Party, New York, US Representative",chris _collins_red.png,chris _collins_blue.png
Rep,Doug,,Collins,,,R,GA,9,1,M,67851,H2GA09150,412531,N00033518,RepDougCollins,,http://youtube.com/repdougcollins,5.05647E+14,,,8/16/1966,Rep.Dougcollins@opencongress.org,,,,,Doug  Collins,Collins,Doug ,"Republican Party, Georgia, US Representative",doug _collins_red.png,doug _collins_blue.png
Rep,Paul,,Cook,,,R,CA,8,1,M,58121,H2CA08164,412513,N00034224,RepPaulCook,,http://youtube.com/RepPaulCook,4.64458E+14,,,3/3/1943,Rep.Cook@opencongress.org,,,,,Paul  Cook,Cook,Paul ,"Republican Party, California, US Representative",paul _cook_red.png,paul _cook_blue.png
Sen,Tom,,Cotton,,,R,AR,Junior Seat,1,M,135651,H2AR04083,412508,N00033363,SenTomCotton,,http://youtube.com/RepTomCotton,1.20356E+14,,II,5/13/1977,Sen.Cotton@opencongress.org,,,,,Tom  Cotton,Cotton,Tom ,"Republican Party, Arkansas, Senator",tom _cotton_red.png,tom _cotton_blue.png
Rep,Kevin,,Cramer,,,R,ND,0,1,M,444,H0ND01026,412555,N00004614,RepKevinCramer,,http://youtube.com/kevincramer,4.98752E+14,,,1/21/1961,Rep.Cramer@opencongress.org,,,,,Kevin  Cramer,Cramer,Kevin ,"Republican Party, North Dakota, US Representative",kevin _cramer_red.png,kevin _cramer_blue.png
Rep,Tony,,C√°rdenas,,,D,CA,29,1,M,9754,H2CA28113,412517,N00033373,RepCardenas,,http://youtube.com/repcardenas,4.85494E+14,,,3/31/1963,Rep.Cardenas@opencongress.org,,,,,Tony  C√°rdenas,C√°rdenas,Tony ,"Democratic Party, California, US Representative",tony _c„°rdenas_red.png,tony _c„°rdenas_blue.png
Sen,Ted,,Cruz,,,R,TX,Junior Seat,1,M,135705,S2TX00312,412573,N00033085,SenTedCruz,,http://youtube.com/sentedcruz,3.15496E+14,,I,12/22/1970,Sen.Cruz@opencongress.org,,,,,Ted  Cruz,Cruz,Ted ,"Republican Party, Texas, Senator",ted _cruz_red.png,ted _cruz_blue.png
Rep,Katherine,M.,Clark,,,D,MA,5,1,F,35858,H4MA05084,412600,N00035278,RepKClark,,,1.40804E+15,,,7/17/1963,Rep.Katherineclark@opencongress.org,,,,,Katherine M. Clark,Clark,Katherine M.,"Democratic Party, Massachusetts, US Representative",katherine m._clark_red.png,katherine m._clark_blue.png
Rep,Buddy,,Carter,,,R,GA,1,1,M,,H4GA01039,412622,N00035346,RepBuddyCarter,,,congressmanbuddycarter,,,9/6/1957,Rep.Buddycarter@opencongress.org,,,,,Buddy  Carter,Carter,Buddy ,"Republican Party, Georgia, US Representative",buddy _carter_red.png,buddy _carter_blue.png
Rep,Barbara,,Comstock,,,R,VA,10,1,F,,H4VA10089,412658,N00036023,RepComstock,,,RepBarbaraComstock,,,6/30/1959,Rep.Comstock@opencongress.org,,,,,Barbara  Comstock,Comstock,Barbara ,"Republican Party, Virginia, US Representative",barbara _comstock_red.png,barbara _comstock_blue.png
Rep,Ryan,,Costello,,,R,PA,6,1,M,,H0PA06076,412651,N00031064,RepRyanCostello,,,CongressmanRyanCostello,,,9/7/1976,Rep.Costello@opencongress.org,,,,,Ryan  Costello,Costello,Ryan ,"Republican Party, Pennsylvania, US Representative",ryan _costello_red.png,ryan _costello_blue.png
Rep,Carlos,,Curbelo,,,R,FL,26,1,M,,H4FL26038,412621,N00035403,RepCurbelo,,,repcurbelo,,,3/1/1980,Rep.Curbelo@opencongress.org,,,,,Carlos  Curbelo,Curbelo,Carlos ,"Republican Party, Florida, US Representative",carlos _curbelo_red.png,carlos _curbelo_blue.png
Rep,James,,Comer,,,R,KY,1,1,M,35169,H6KY01110,412676,N00038260,,,,,,,8/19/1972,Rep.Comer@opencongress.org,,,,,James  Comer,Comer,James ,"Republican Party, Kentucky, US Representative",james _comer_red.png,james _comer_blue.png
Rep,Liz,,Cheney,,,R,WY,0,1,F,,,412732,,,,,,,,,,,,,,Liz  Cheney,Cheney,Liz ,"Republican Party, Wyoming, US Representative",liz _cheney_red.png,liz _cheney_blue.png
Rep,J.,,Correa,,,D,CA,46,1,M,,,412688,,,,,,,,,,,,,,J.  Correa,Correa,J. ,"Democratic Party, California, US Representative",j. _correa_red.png,j. _correa_blue.png
Rep,Charlie,,Crist,,,D,FL,13,1,M,,,412697,,,,,,,,,,,,,,Charlie  Crist,Crist,Charlie ,"Democratic Party, Florida, US Representative",charlie _crist_red.png,charlie _crist_blue.png
Rep,Salud,,Carbajal,,,D,CA,24,1,M,,,412686,,,,,,,,,,,,,,Salud  Carbajal,Carbajal,Salud ,"Democratic Party, California, US Representative",salud _carbajal_red.png,salud _carbajal_blue.png
Sen,Catherine,,Cortez Masto,,,D,NV,Junior Seat,1,F,69579,S6NV00200,412681,,,,,,,III,3/29/1964,,,,,,Catherine  Cortez Masto,Cortez Masto,Catherine ,"Democratic Party, Nevada, Senator",catherine _cortez masto_red.png,catherine _cortez masto_blue.png
Rep,Danny,K.,Davis,,,D,IL,7,1,M,233,H4IL07037,400093,N00004884,RepDannyDavis,http://www.opencongress.org/wiki/Danny_Davis,http://youtube.com/dannykdavis07,2.80758E+14,,,9/6/1941,Rep.Davis@opencongress.org,,,,,Danny K. Davis,Davis,Danny K.,"Democratic Party, Illinois, US Representative",danny k._davis_red.png,danny k._davis_blue.png
Rep,Thomas,M.,Davis,III,Tom,R,VA,11,0,M,21935,H4VA11020,400098,N00002045,,http://www.opencongress.org/wiki/Thomas_Davis,,,,,1/5/1949,,,,,,Thomas M. Davis,Davis,Thomas M.,"Republican Party, Virginia, US Representative",thomas m._davis_red.png,thomas m._davis_blue.png
Rep,Nathan,,Deal,,,R,GA,9,0,M,26824,H2GA09036,400099,N00002610,,http://www.opencongress.org/wiki/Nathan_Deal,,,,,8/25/1942,,,,,,Nathan  Deal,Deal,Nathan ,"Republican Party, Georgia, US Representative",nathan _deal_red.png,nathan _deal_blue.png
Rep,Peter,A.,DeFazio,,,D,OR,4,1,M,27037,H6OR04047,400100,N00007781,RepPeterDeFazio,http://www.opencongress.org/wiki/Peter_DeFazio,http://youtube.com/PeterDeFazio,94324364811,,,5/27/1947,Rep.Defazio@opencongress.org,,,,,Peter A. DeFazio,DeFazio,Peter A.,"Democratic Party, Oregon, US Representative",peter a._defazio_red.png,peter a._defazio_blue.png
Rep,Diana,L.,DeGette,,,D,CO,1,1,F,561,H6CO01141,400101,N00006134,RepDianaDeGette,http://www.opencongress.org/wiki/Diana_DeGette,http://youtube.com/RepDianaDeGette,1.10758E+11,,,7/29/1957,Rep.Degette@opencongress.org,,,,,Diana L. DeGette,DeGette,Diana L.,"Democratic Party, Colorado, US Representative",diana l._degette_red.png,diana l._degette_blue.png
Rep,William,D.,Delahunt,,Bill,D,MA,10,0,M,1017,H2MA11060,400102,N00000280,,http://www.opencongress.org/wiki/William_Delahunt,http://youtube.com/repdelahunt,,,,7/18/1941,,,,,,William D. Delahunt,Delahunt,William D.,"Democratic Party, Massachusetts, US Representative",william d._delahunt_red.png,william d._delahunt_blue.png
Rep,Rosa,L.,DeLauro,,,D,CT,3,1,F,26788,H0CT03072,400103,N00000615,RosaDeLauro,http://www.opencongress.org/wiki/Rosa_DeLauro,http://youtube.com/rosadelauro,1.81303E+14,,,3/2/1943,Rep.Delauro@opencongress.org,,,,,Rosa L. DeLauro,DeLauro,Rosa L.,"Democratic Party, Connecticut, US Representative",rosa l._delauro_red.png,rosa l._delauro_blue.png
Rep,Lincoln,,Diaz-Balart,,,R,FL,21,0,M,26796,H2FL19037,400107,N00002872,,http://www.opencongress.org/wiki/Lincoln_Diaz-Balart,,,,,8/13/1954,,,,,,Lincoln  Diaz-Balart,Diaz-Balart,Lincoln ,"Republican Party, Florida, US Representative",lincoln _diaz-balart_red.png,lincoln _diaz-balart_blue.png
Rep,Norman,D.,Dicks,,Norm,D,WA,6,0,M,27127,H6WA06021,400109,N00007918,RepNormDicks,http://www.opencongress.org/wiki/Norman_Dicks,http://youtube.com/RepNormDicks,NormDicks,,,12/16/1940,,,,,,Norman D. Dicks,Dicks,Norman D.,"Democratic Party, Washington, US Representative",norman d._dicks_red.png,norman d._dicks_blue.png
Rep,John,D.,Dingell,,,D,MI,12,0,M,26917,H6MI16034,400110,N00001783,John_Dingell,http://www.opencongress.org/wiki/John_Dingell,,87490183861,,,7/8/1926,,,,,,John D. Dingell,Dingell,John D.,"Democratic Party, Michigan, US Representative",john d._dingell_red.png,john d._dingell_blue.png
Sen,Christopher,J.,Dodd,,,D,CT,Senior Seat,0,M,53277,S0CT00037,300034,N00000581,SenChrisDodd,http://www.opencongress.org/wiki/Christopher_Dodd,http://youtube.com/SenChrisDodd,,,III,5/27/1944,,,,,,Christopher J. Dodd,Dodd,Christopher J.,"Democratic Party, Connecticut, Senator",christopher j._dodd_red.png,christopher j._dodd_blue.png
Rep,Lloyd,A.,Doggett,,,D,TX,35,1,M,21689,H4TX10028,400111,N00006023,RepLloydDoggett,http://www.opencongress.org/wiki/Lloyd_Doggett,http://youtube.com/doggett,1.54051E+11,,,10/6/1946,Rep.Doggett@opencongress.org,,,,,Lloyd A. Doggett,Doggett,Lloyd A.,"Democratic Party, Texas, US Representative",lloyd a._doggett_red.png,lloyd a._doggett_blue.png
Sen,Pete,V.,Domenici,,,R,NM,Senior Seat,0,M,53325,S8NM00010,300036,N00006515,,http://www.opencongress.org/wiki/Pete_Domenici,,,,II,5/7/1932,,,,,,Pete V. Domenici,Domenici,Pete V.,"Republican Party, New Mexico, Senator",pete v._domenici_red.png,pete v._domenici_blue.png
Rep,John,T.,Doolittle,,,R,CA,4,0,M,26743,H0CA14042,400113,N00007556,,http://www.opencongress.org/wiki/John_Doolittle,,,,,10/30/1950,,,,,,John T. Doolittle,Doolittle,John T.,"Republican Party, California, US Representative",john t._doolittle_red.png,john t._doolittle_blue.png
Sen,Byron,L.,Dorgan,,,D,ND,Junior Seat,0,M,53332,S2ND00040,300037,N00004615,,http://www.opencongress.org/wiki/Byron_Dorgan,http://youtube.com/senatordorgan,,,III,5/14/1942,,,,,,Byron L. Dorgan,Dorgan,Byron L.,"Democratic Party, North Dakota, Senator",byron l._dorgan_red.png,byron l._dorgan_blue.png
Rep,Michael,F.,Doyle,Jr.,Mike,D,PA,14,1,M,21853,H4PA18131,400114,N00001373,USRepMikeDoyle,http://www.opencongress.org/wiki/Michael_Doyle,http://youtube.com/CongressmanDoyle,79663724861,,,8/5/1953,Rep.Doyle@opencongress.org,,,,,Michael F. Doyle,Doyle,Michael F.,"Democratic Party, Pennsylvania, US Representative",michael f._doyle_red.png,michael f._doyle_blue.png
Rep,David,T.,Dreier,,,R,CA,26,0,M,26765,H8CA35032,400115,N00006932,,http://www.opencongress.org/wiki/David_Dreier,http://youtube.com/RepDavidDreier,,,,7/5/1952,,,,,,David T. Dreier,Dreier,David T.,"Republican Party, California, US Representative",david t._dreier_red.png,david t._dreier_blue.png
Rep,John,J.,Duncan,Jr.,Jimmy,R,TN,2,1,M,27069,H8TN02069,400116,N00003209,RepJohnDuncanJr,http://www.opencongress.org/wiki/John_Duncan,http://youtube.com/RepJohnDuncan,1.02386E+14,,,7/21/1947,Rep.Duncan@opencongress.org,,,,,John J. Duncan,Duncan,John J.,"Republican Party, Tennessee, US Representative",john j._duncan_red.png,john j._duncan_blue.png
Sen,Richard,J.,Durbin,,,D,IL,Senior Seat,1,M,26847,S6IL00151,300038,N00004981,SenatorDurbin,http://www.opencongress.org/wiki/Richard_Durbin,http://youtube.com/SenatorDurbin,1.80437E+14,,II,11/21/1944,Sen.Durbin@opencongress.org,,,,,Richard J. Durbin,Durbin,Richard J.,"Democratic Party, Illinois, Senator",richard j._durbin_red.png,richard j._durbin_blue.png
Sen,Jim,W.,DeMint,,,R,SC,Junior Seat,0,M,25026,S4SC00083,400105,N00002472,JimDeMint,http://www.opencongress.org/wiki/Jim_DeMint,http://youtube.com/SenJimDeMint,senatordemint,,III,9/2/1951,,,,,,Jim W. DeMint,DeMint,Jim W.,"Republican Party, South Carolina, Senator",jim w._demint_red.png,jim w._demint_blue.png
Rep,Jo Ann,S.,Davis,,,R,VA,1,0,F,24970,H0VA01052,400095,N00013078,,http://www.opencongress.org/wiki/Jo_Ann_Davis,,,,,6/29/1950,,,,,,Jo Ann S. Davis,Davis,Jo Ann S.,"Republican Party, Virginia, US Representative",jo ann s._davis_red.png,jo ann s._davis_blue.png
Rep,Susan,A.,Davis,,,D,CA,53,1,F,8168,H0CA49055,400097,N00009604,RepSusanDavis,http://www.opencongress.org/wiki/Susan_Davis,,1.03768E+14,,,4/13/1944,Rep.Susandavis@opencongress.org,,,,,Susan A. Davis,Davis,Susan A.,"Democratic Party, California, US Representative",susan a._davis_red.png,susan a._davis_blue.png
Rep,Lincoln,,Davis,,,D,TN,4,0,M,12080,H4TN06051,400096,N00003264,,http://www.opencongress.org/wiki/Lincoln_Davis,,,,,9/13/1943,,,,,,Lincoln  Davis,Davis,Lincoln ,"Democratic Party, Tennessee, US Representative",lincoln _davis_red.png,lincoln _davis_blue.png
Rep,Mario,,Diaz-Balart,,,R,FL,25,1,M,24312,H2FL25018,400108,N00025337,MarioDB,http://www.opencongress.org/wiki/Mario_Diaz-Balart,http://youtube.com/MarioDiazBalart,1.19538E+14,,,9/25/1961,Rep.Mariodiazbalart@opencongress.org,,,,,Mario  Diaz-Balart,Diaz-Balart,Mario ,"Republican Party, Florida, US Representative",mario _diaz-balart_red.png,mario _diaz-balart_blue.png
Sen,Elizabeth,H.,Dole,,,R,NC,Senior Seat,0,F,41533,S2NC00083,300035,N00008071,,http://www.opencongress.org/wiki/Elizabeth_Dole,,,,II,7/29/1936,,,,,,Elizabeth H. Dole,Dole,Elizabeth H.,"Republican Party, North Carolina, Senator",elizabeth h._dole_red.png,elizabeth h._dole_blue.png
Rep,Artur,,Davis,,,D,AL,7,0,M,27560,H0AL07060,400092,N00009570,ArturDavis,http://www.opencongress.org/wiki/Artur_Davis,,,,,10/9/1967,,,,,,Artur  Davis,Davis,Artur ,"Democratic Party, Alabama, US Representative",artur _davis_red.png,artur _davis_blue.png
Rep,Geoff,,Davis,,,R,KY,4,0,M,35212,H2KY04071,400633,N00024862,RepGeoffDavis,http://www.opencongress.org/wiki/Geoff_Davis,http://youtube.com/CongressmanDavis,6442966307,,,10/26/1958,,,,,,Geoff  Davis,Davis,Geoff ,"Republican Party, Kentucky, US Representative",geoff _davis_red.png,geoff _davis_blue.png
Rep,Charles,W.,Dent,,,R,PA,15,1,M,9121,H4PA15087,400648,N00026171,,http://www.opencongress.org/wiki/Charles_Dent,http://youtube.com/CongressmanDent,69862092533,,,5/24/1960,Rep.Dent@opencongress.org,,,,,Charles W. Dent,Dent,Charles W.,"Republican Party, Pennsylvania, US Representative",charles w._dent_red.png,charles w._dent_blue.png
Rep,Thelma,D.,Drake,,,R,VA,2,0,F,8231,H4VA02037,400658,N00027281,,http://www.opencongress.org/wiki/Thelma_Drake,,,,,11/20/1949,,,,,,Thelma D. Drake,Drake,Thelma D.,"Republican Party, Virginia, US Representative",thelma d._drake_red.png,thelma d._drake_blue.png
Rep,David,,Davis,,,R,TN,1,0,M,753,H6TN01313,412235,N00008758,,http://www.opencongress.org/wiki/David_Davis,,,,,11/6/1959,,,,,,David  Davis,Davis,David ,"Republican Party, Tennessee, US Representative",david _davis_red.png,david _davis_blue.png
Sen,Joe,,Donnelly,,,D,IN,Senior Seat,1,M,34212,H4IN02101,412205,N00026586,SenDonnelly,http://www.opencongress.org/wiki/Joe_Donnelly,http://youtube.com/sendonnelly,1.6806E+14,,I,9/28/1955,Sen.Donnelly@opencongress.org,,,,,Joe  Donnelly,Donnelly,Joe ,"Democratic Party, Indiana, Senator",joe _donnelly_red.png,joe _donnelly_blue.png
Rep,Kathleen,A.,Dahlkemper,,,D,PA,3,0,F,102423,H8PA03084,412273,N00029414,,http://www.opencongress.org/wiki/Kathy_Dahlkemper,,,,,12/10/1957,,,,,,Kathleen A. Dahlkemper,Dahlkemper,Kathleen A.,"Democratic Party, Pennsylvania, US Representative",kathleen a._dahlkemper_red.png,kathleen a._dahlkemper_blue.png
Rep,Steve,,Driehaus,,,D,OH,1,0,M,45110,H8OH01068,412274,N00029211,SteveDriehaus1,http://www.opencongress.org/wiki/Steven_Driehaus,http://youtube.com/SteveDriehausOH01,,,,6/24/1966,,,,,,Steve  Driehaus,Driehaus,Steve ,"Democratic Party, Ohio, US Representative",steve _driehaus_red.png,steve _driehaus_blue.png
Rep,Theodore,E.,Deutch,,,D,FL,22,1,M,67151,H0FL19080,412385,N00031317,RepTedDeutch,http://www.opencongress.org/wiki/Ted_Deutch,http://youtube.com/congressmanteddeutch,1.12179E+14,,,5/7/1966,Rep.Teddeutch@opencongress.org,,,,,Theodore E. Deutch,Deutch,Theodore E.,"Democratic Party, Florida, US Representative",theodore e._deutch_red.png,theodore e._deutch_blue.png
Rep,Charles,,Djou,,,R,HI,1,0,M,17827,H0HI01157,412387,N00029460,,http://www.opencongress.org/wiki/Charles_Djou,,,,,8/9/1970,,,,,,Charles  Djou,Djou,Charles ,"Republican Party, Hawaii, US Representative",charles _djou_red.png,charles _djou_blue.png
Rep,Jeff,,Denham,,,R,CA,10,1,M,28769,H0CA19173,412403,N00031593,RepJeffDenham,http://www.opencongress.org/wiki/Jeff_Denham,http://youtube.com/repjeffdenham,1.33714E+14,,,7/29/1967,Rep.Denham@opencongress.org,,,,,Jeff  Denham,Denham,Jeff ,"Republican Party, California, US Representative",jeff _denham_red.png,jeff _denham_blue.png
Rep,Bob,,Dold,,,R,IL,10,0,M,116548,H0IL10302,412420,N00031103,RepDold,http://www.opencongress.org/wiki/Robert_Dold,,RepDold,,,6/23/1969,,,,,,Bob  Dold,Dold,Bob ,"Republican Party, Illinois, US Representative",bob _dold_red.png,bob _dold_blue.png
Rep,Sean,P.,Duffy,,,R,WI,7,1,M,126238,H0WI07051,412488,N00030967,RepSeanDuffy,http://www.opencongress.org/wiki/Sean_Duffy,http://youtube.com/RepSeanDuffy,1.19658E+14,,,10/3/1971,Rep.Duffy@opencongress.org,,,,,Sean P. Duffy,Duffy,Sean P.,"Republican Party, Wisconsin, US Representative",sean p._duffy_red.png,sean p._duffy_blue.png
Rep,Jeff,,Duncan,,,R,SC,3,1,M,47967,H0SC03077,412472,N00030752,RepJeffDuncan,http://www.opencongress.org/wiki/Jeff_Duncan,http://youtube.com/congjeffduncan,1.87268E+14,,,1/7/1966,Rep.Jeffduncan@opencongress.org,,,,,Jeff  Duncan,Duncan,Jeff ,"Republican Party, South Carolina, US Representative",jeff _duncan_red.png,jeff _duncan_blue.png
Rep,Scott,,DesJarlais,,,R,TN,4,1,M,123473,H0TN04195,412477,N00030957,DesJarlaisTN04,http://www.opencongress.org/wiki/Scott_Desjarlais,http://youtube.com/ScottDesJarlaisTN04,ScottDesJarlaisTN04,,,2/21/1964,Rep.Desjarlais@opencongress.org,,,,,Scott  DesJarlais,DesJarlais,Scott ,"Republican Party, Tennessee, US Representative",scott _desjarlais_red.png,scott _desjarlais_blue.png
Rep,Suzan,K.,DelBene,,,D,WA,1,1,F,126272,H0WA08046,412505,N00030693,RepDelBene,,,4.83962E+14,,,2/17/1962,Rep.Delbene@opencongress.org,,,,,Suzan K. DelBene,DelBene,Suzan K.,"Democratic Party, Washington, US Representative",suzan k._delbene_red.png,suzan k._delbene_blue.png
Sen,Steve,,Daines,,,R,MT,Junior Seat,1,M,135720,H2MT01060,412549,N00033054,SteveDaines,,http://youtube.com/SteveDainesMT,1.85361E+14,,II,8/20/1962,Sen.Daines@opencongress.org,,,,,Steve  Daines,Daines,Steve ,"Republican Party, Montana, Senator",steve _daines_red.png,steve _daines_blue.png
Rep,Rodney,,Davis,,,R,IL,13,1,M,9622,H2IL13120,412536,N00034784,RodneyDavis,,http://youtube.com/RepRodneyDavis,3.23632E+14,,,1/5/1970,Rep.Rodneydavis@opencongress.org,,,,,Rodney  Davis,Davis,Rodney ,"Republican Party, Illinois, US Representative",rodney _davis_red.png,rodney _davis_blue.png
Rep,John,K.,Delaney,,,D,MD,6,1,M,135143,H2MD06195,412544,N00033897,RepJohnDelaney,,http://youtube.com/repjohndelaney,3.24527E+14,,,4/16/1963,Rep.Delaney@opencongress.org,,,,,John K. Delaney,Delaney,John K.,"Democratic Party, Maryland, US Representative",john k._delaney_red.png,john k._delaney_blue.png
Rep,Ron,,DeSantis,,,R,FL,6,1,M,137630,H2FL00292,412526,N00034746,RepDeSantis,,http://youtube.com/RepRonDeSantis,4.64254E+14,,,9/14/1978,Rep.Desantis@opencongress.org,,,,,Ron  DeSantis,DeSantis,Ron ,"Republican Party, Florida, US Representative",ron _desantis_red.png,ron _desantis_blue.png
Sen,Tammy,,Duckworth,,,D,IL,Junior Seat,1,F,57442,H6IL06141,412533,N00027860,RepDuckworth,,http://youtube.com/repduckworth,1.12301E+14,,III,3/12/1968,,,,,,Tammy  Duckworth,Duckworth,Tammy ,"Democratic Party, Illinois, Senator",tammy _duckworth_red.png,tammy _duckworth_blue.png
Rep,Mark,,DeSaulnier,,,D,CA,11,1,M,,H0CA10073,412613,N00030709,RepDeSaulnier,,,RepMarkDeSaulnier,,,3/31/1952,Rep.Desaulnier@opencongress.org,,,,,Mark  DeSaulnier,DeSaulnier,Mark ,"Democratic Party, California, US Representative",mark _desaulnier_red.png,mark _desaulnier_blue.png
Rep,Debbie,,Dingell,,,D,MI,12,1,F,,H4MI12079,412637,N00036149,RepDebDingell,,,RepDebbieDingell,,,11/23/1953,Rep.Debbiedingell@opencongress.org,,,,,Debbie  Dingell,Dingell,Debbie ,"Democratic Party, Michigan, US Representative",debbie _dingell_red.png,debbie _dingell_blue.png
Rep,Daniel,M.,Donovan,Jr.,,R,NY,11,1,M,127760,H6NY11174,412672,N00036928,RepDanDonovan,,,8.67633E+14,,,11/6/1956,Rep.Donovan@opencongress.org,,,,,Daniel M. Donovan,Donovan,Daniel M.,"Republican Party, New York, US Representative",daniel m._donovan_red.png,daniel m._donovan_blue.png
